"","RK","NAME","TEAM","SALARY","POSITION"
"1","1","Stephen Curry","Golden State Warriors",51915615,"PG"
"2","2","Kevin Durant","Phoenix Suns",47649433,"PF"
"3","3","LeBron James","Los Angeles Lakers",47607350,"SF"
"4","4","Nikola Jokic","Denver Nuggets",47607350,"C"
"5","5","Joel Embiid","Philadelphia 76ers",46900000,"C"
"6","6","Bradley Beal","Phoenix Suns",46741590,"SG"
"7","7","Giannis Antetokounmpo","Milwaukee Bucks",45640084,"PF"
"8","8","Damian Lillard","Milwaukee Bucks",45640084,"PG"
"9","9","Kawhi Leonard","LA Clippers",45640084,"SF"
"10","10","Paul George","LA Clippers",45640084,"F"
"11","11","Jimmy Butler","Miami Heat",45183960,"SF"
"12","12","Klay Thompson","Golden State Warriors",43219440,"SG"
"13","13","Rudy Gobert","Minnesota Timberwolves",4.1e+07,"C"
"14","14","Fred VanVleet","Houston Rockets",40806300,"PG"
"15","15","Anthony Davis","Los Angeles Lakers",40600080,"PF"
"16","16","Luka Doncic","Dallas Mavericks",40064220,"PG"
"17","17","Zach LaVine","Chicago Bulls",40064220,"SG"
"18","18","Trae Young","Atlanta Hawks",40064220,"PG"
"19","19","Tobias Harris","Philadelphia 76ers",39270150,"PF"
"20","20","Ben Simmons","Brooklyn Nets",37893408,"PG"
"21","21","Pascal Siakam","Indiana Pacers",37893408,"PF"
"22","22","Kyrie Irving","Dallas Mavericks",37037037,"PG"
"23","23","Jrue Holiday","Boston Celtics",36861707,"PG"
"24","24","Devin Booker","Phoenix Suns",36016200,"SG"
"25","25","Karl-Anthony Towns","Minnesota Timberwolves",36016200,"C"
"26","26","Kristaps Porzingis","Boston Celtics",36016200,"C"
"27","27","CJ McCollum","New Orleans Pelicans",35802469,"SG"
"28","28","James Harden","LA Clippers",35640000,"SG"
"29","29","Ja Morant","Memphis Grizzlies",34005250,"PG"
"30","30","Darius Garland","Cleveland Cavaliers",34005250,"PG"
"31","31","Zion Williamson","New Orleans Pelicans",34005250,"PF"
"32","32","Jamal Murray","Denver Nuggets",33833400,"PG"
"33","33","Brandon Ingram","New Orleans Pelicans",33833400,"SF"
"34","34","Shai Gilgeous-Alexander","Oklahoma City Thunder",33386850,"PG"
"35","35","Michael Porter Jr.","Denver Nuggets",33386850,"SF"
"36","36","Donovan Mitchell","Cleveland Cavaliers",33162030,"SG"
"37","37","De'Aaron Fox","Sacramento Kings",32600060,"PG"
"38","38","Bam Adebayo","Miami Heat",32600060,"C"
"39","39","Jayson Tatum","Boston Celtics",32600060,"SF"
"40","40","Deandre Ayton","Portland Trail Blazers",32459438,"C"
"41","41","Jaylen Brown","Boston Celtics",31830357,"SG"
"42","42","Gordon Hayward","Oklahoma City Thunder",31500000,"SF"
"43","43","Chris Paul","Golden State Warriors",30800000,"PG"
"44","44","Domantas Sabonis","Sacramento Kings",30600000,"PF"
"45","45","Khris Middleton","Milwaukee Bucks",29320988,"SF"
"46","46","DeMar DeRozan","Chicago Bulls",28600000,"SF"
"47","47","Julius Randle","New York Knicks",28226880,"PF"
"48","48","Jordan Poole","Washington Wizards",27955357,"SG"
"49","49","Jerami Grant","Portland Trail Blazers",27586207,"SF"
"50","50","Jaren Jackson Jr.","Memphis Grizzlies",27102202,"PF"
"51","51","Tyler Herro","Miami Heat",2.7e+07,"PG"
"52","52","Jalen Brunson","New York Knicks",26346666,"PG"
"53","53","Cameron Johnson","Brooklyn Nets",25679348,"SF"
"54","54","Kyle Kuzma","Washington Wizards",25568182,"SF"
"55","55","John Collins","Utah Jazz",25340000,"PF"
"56","56","Brook Lopez","Milwaukee Bucks",2.5e+07,"C"
"57","57","Mike Conley","Minnesota Timberwolves",24360000,"PG"
"58","58","Andrew Wiggins","Golden State Warriors",24330357,"SF"
"59","59","Anfernee Simons","Portland Trail Blazers",24107143,"SG"
"60","60","RJ Barrett","Toronto Raptors",23883929,"SG"
"61","61","Jordan Clarkson","Utah Jazz",23487629,"PG"
"62","62","Dillon Brooks","Houston Rockets",22627671,"SF"
"63","63","Malcolm Brogdon","Portland Trail Blazers",22500000,"PG"
"64","64","Draymond Green","Golden State Warriors",22321429,"PF"
"65","65","Aaron Gordon","Denver Nuggets",22266182,"PF"
"66","66","Terry Rozier","Miami Heat",22205221,"SG"
"67","67","Bruce Brown","Toronto Raptors",2.2e+07,"SF"
"68","68","Mikal Bridges","Brooklyn Nets",21700000,"SF"
"69","69","Myles Turner","Indiana Pacers",20975000,"C"
"70","70","Clint Capela","Atlanta Hawks",20616000,"C"
"71","71","Lonzo Ball","Chicago Bulls",20465117,"PG"
"72","72","De'Andre Hunter","Atlanta Hawks",20089286,"SF"
"73","73","Keldon Johnson","San Antonio Spurs",2e+07,"SF"
"74","74","Bojan Bogdanovic","New York Knicks",2e+07,"SF"
"75","75","Jarrett Allen","Cleveland Cavaliers",2e+07,"C"
"76","76","Joe Harris","Detroit Pistons",19928571,"SF"
"77","77","Jakob Poeltl","Toronto Raptors",19500000,"C"
"78","78","Buddy Hield","Philadelphia 76ers",19279841,"SG"
"79","79","Evan Fournier","Detroit Pistons",18857143,"SG"
"80","80","Marcus Smart","Memphis Grizzlies",18833712,"PG"
"81","81","Bogdan Bogdanovic","Atlanta Hawks",18700000,"SG"
"82","82","OG Anunoby","New York Knicks",18642857,"SF"
"83","83","Gary Trent Jr.","Toronto Raptors",18560000,"SG"
"84","84","Nikola Vucevic","Chicago Bulls",18518519,"C"
"85","85","Derrick White","Boston Celtics",18357143,"PG"
"86","86","Dejounte Murray","Atlanta Hawks",18214000,"SG"
"87","87","Duncan Robinson","Miami Heat",18154000,"F"
"88","88","Norman Powell","LA Clippers",1.8e+07,"G"
"89","89","Tim Hardaway Jr.","Dallas Mavericks",17897728,"SF"
"90","90","Jonathan Isaac","Orlando Magic",17400000,"PF"
"91","91","Collin Sexton","Utah Jazz",17325000,"PG"
"92","92","D'Angelo Russell","Los Angeles Lakers",17307693,"PG"
"93","93","Lauri Markkanen","Utah Jazz",17259999,"PF"
"94","94","Marcus Morris Sr.","Cleveland Cavaliers",17116279,"SF"
"95","95","Davis Bertans","Charlotte Hornets",1.7e+07,"SF"
"96","96","Harrison Barnes","Sacramento Kings",1.7e+07,"SF"
"97","97","Markelle Fultz","Orlando Magic",1.7e+07,"PG"
"98","98","Jusuf Nurkic","Phoenix Suns",16875000,"C"
"99","99","P.J. Washington","Dallas Mavericks",16847826,"PF"
"100","100","Kevin Porter Jr.","Oklahoma City Thunder",15860000,"G"
