Unit Type	Unit Type	Total
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	8
2 Bedroom	2 Bedroom	11
2 Bedroom	2 Bedroom	4
2 Bedroom	2 Bedroom	5
2 Bedroom	2 Bedroom	12
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	10
2 Bedroom	2 Bedroom	8
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	6
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	66
2 Bedroom	2 Bedroom	7
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	13
2 Bedroom	2 Bedroom	9
2 Bedroom	2 Bedroom	24
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	7
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	8
2 Bedroom	2 Bedroom	35
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	15
2 Bedroom	2 Bedroom	13
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	47
2 Bedroom	2 Bedroom	74
2 Bedroom	2 Bedroom	44
2 Bedroom	2 Bedroom	8
2 Bedroom	2 Bedroom	5
2 Bedroom	2 Bedroom	54
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	4
2 Bedroom	2 Bedroom	9
2 Bedroom	2 Bedroom	11
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	4
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	4
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	10
2 Bedroom	2 Bedroom	23
2 Bedroom	2 Bedroom	16
2 Bedroom	2 Bedroom	7
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	4
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	34
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	14
2 Bedroom	2 Bedroom	19
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	8
2 Bedroom	2 Bedroom	9
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	4
2 Bedroom	2BR, 1.5BA	14
2 Bedroom	2 Bedroom	5
2 Bedroom	2 Bedroom	13
2 Bedroom	2 Bedroom	5
2 Bedroom	2 Bedroom	15
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	26
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	59
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	8
2 Bedroom	2 Bedroom	14
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	3
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	5
2 Bedroom	2 Bedroom	4
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	4
2 Bedroom	2 Bedroom	4
2 Bedroom	2 Bedroom	8
2 Bedroom	2 Bedroom	1
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	25
2 Bedroom	2 Bedroom	9
2 Bedroom	2 Bedroom	2
2 Bedroom	2 Bedroom	1
